"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Iowa","17600034IA (BEDFORD CITY NATURAL GAS)","Residential Sales Volume","58415","52366","51710","44497","43278","39414","44016","49492","44059","45844","43669","35594","46890","48661","38564","36541","35860","45425","44739","39363","36110"
"Iowa","17600034IA (BEDFORD CITY NATURAL GAS)","Residential Sales Revenue","659244","427878","468576","453755","500450","477894","505461","584695","397213","429438","424100","348844","417740","508179","363738","318927","321532","395366","385678","342998","581947"
"Illinois","17600035IL (TOLDEDO VILLAGE OF)","Residential Sales Volume","35539","34768","36837","35722","30534","28929","31707","34871","30882","31374","29473","25274","32484","35041","29035","26000","25892","30966","29420","26809","26969"
"Illinois","17600035IL (TOLDEDO VILLAGE OF)","Residential Sales Revenue","297944","235700","312700","321213","417827","344143","343290","421669","351075","292802","261838","202860","252931","311943","256357","241432","227610","295991","281721","247436","274119"
"Illinois","17600036IL (VILLAGE OD SIMS)","Residential Sales Volume","8965","9067","8147","7900","7876","6949","6988","7975","7964","7410","6297","5647","7500","7348","6275","6280","6355","6299","6322","5996",""
"Illinois","17600036IL (VILLAGE OD SIMS)","Residential Sales Revenue","92250","91468","94771","101870","118719","105568","82458","119252","97084","81797","68713","59530","79327","84101","55284","60943","68583","72749","71524","78498",""
"Illinois","17600037IL (CITY OF GRAND TOWER)","Residential Sales Volume","14011","14434","14138","11938","10231","10319","10446","11136","12005","11228","10533","9547","10081","10427","7879","8208","6371","8896","8063","7253","6771"
"Illinois","17600037IL (CITY OF GRAND TOWER)","Residential Sales Revenue","126101","115913","136923","122712","106300","134752","120129","151490","140829","118100","124996","75760","94896","151176","114018","102249","82735","110887","102565","85930","87412"
"Illinois","17600039IL (SHAWNEETOWN MUNICIPAL GAS)","Residential Sales Volume","31037","29549","32058","28771","25218","21388","22988","22987","20408","23011","20995","17291","23392","24941","20329","18679","16856","22018","20050","18080","18391"
"Illinois","17600039IL (SHAWNEETOWN MUNICIPAL GAS)","Residential Sales Revenue","329728","254547","319855","300369","351158","335007","404129","469906","347881","232485","233491","223876","288154","315654","249091","220942","229099","268830","246743","220585","300602"
"Illinois","17600040IL (PITTSBURG GAS CO)","Residential Sales Revenue","102094","125433","173069","137419","77259","155258","76337","142758","133484","113870","119021","87974","127133","129414","87182","","","","","",""
"Illinois","17600040IL (PITTSBURG GAS CO)","Residential Sales Volume","10323","10418","10749","8712","8315","7148","6638","7899","7839","7525","7298","5277","7181","7440","5010","","","","","",""
